release_year,release_month,title,view_num,cover
2025,10,龍族II 悼亡者之瞳,160000,https://p2.bahamut.com.tw/B/ACG/c/40/0000147240.JPG
2025,10,擁有超常技能的異世界流浪美食家 S2,2162000,https://p2.bahamut.com.tw/B/ACG/c/23/0000136223.JPG
2025,10,身為暗殺者的我明顯比勇者還強,1646000,https://p2.bahamut.com.tw/B/ACG/c/10/0000143810.JPG
2024,12,Fate/strange Fake,191000,https://p2.bahamut.com.tw/B/ACG/c/43/0000133843.JPG
2024,12,S 級怪獸《貝希摩斯》被誤認成小貓，成為精靈女孩的騎士（寵物）一起生活,1464000,https://p2.bahamut.com.tw/B/ACG/c/14/0000138414.JPG
2024,11,劇場版「進擊的巨人」完結篇 THE LAST ATTACK,101000,https://p2.bahamut.com.tw/B/ACG/c/13/0000140913.JPG
2023,11,進擊的巨人 The Final Season 完結篇 後篇,1219000,https://p2.bahamut.com.tw/B/ACG/c/26/0000136226.JPG
2023,10,關於我轉生變成史萊姆這檔事 柯里烏斯之夢,651000,https://p2.bahamut.com.tw/B/ACG/c/89/0000132289.JPG
2023,10,堤亞穆帝國物語～從斷頭台開始，公主重生後的逆轉人生～,1482000,https://p2.bahamut.com.tw/B/ACG/c/70/0000126970.JPG
2022,11,關於我轉生變成史萊姆這檔事劇場版 紅蓮之絆篇,301000,https://p2.bahamut.com.tw/B/ACG/c/67/0000119767.JPG
2022,10,刀劍神域劇場版－Progressive－陰沉薄暮的詼諧曲,131000,https://p2.bahamut.com.tw/B/ACG/c/06/0000120406.JPG
2022,10,我們的黎明,61020000,https://p2.bahamut.com.tw/B/ACG/c/42/0000125542.JPG
2021,12,艾梅洛閣下 II 世事件簿 -魔眼蒐集列車 Grace note- 特別篇,119000,https://p2.bahamut.com.tw/B/ACG/c/52/0000121152.JPG
2021,12,鬼滅之刃 遊郭篇,12216000,https://p2.bahamut.com.tw/B/ACG/c/35/0000115835.JPG
2021,11,TEN·豪快者,96920000,https://p2.bahamut.com.tw/B/ACG/c/56/0000134056.JPG
